Aqi_val,created
107,2020-03-30T10:01:05.346Z
103,2020-03-30T11:01:05.377Z
110,2020-03-30T12:01:05.409Z
94,2020-03-30T13:01:05.426Z
67,2020-03-30T14:01:05.397Z
61,2020-03-30T15:01:05.526Z
64,2020-03-30T16:01:05.565Z
74,2020-03-30T17:01:05.579Z
75,2020-03-30T18:01:05.581Z
76,2020-03-30T19:01:05.679Z
73,2020-03-30T20:01:05.671Z
67,2020-03-30T21:01:05.663Z
59,2020-03-30T22:01:05.722Z
63,2020-03-30T23:01:13.569Z
60,2020-03-31T00:01:13.565Z
53,2020-03-31T01:01:13.614Z
58,2020-03-31T02:01:13.655Z
58,2020-03-31T03:01:13.684Z
56,2020-03-31T04:01:13.737Z
64,2020-03-31T05:01:14.214Z
65,2020-03-31T06:01:13.724Z
72,2020-03-31T07:01:13.794Z
71,2020-03-31T08:01:13.802Z
61,2020-03-31T09:01:13.847Z
54,2020-03-31T10:01:13.895Z
54,2020-03-31T11:01:13.883Z
51,2020-03-31T12:01:13.898Z
47,2020-03-31T13:01:13.964Z
55,2020-03-31T14:01:13.986Z
55,2020-03-31T15:01:14.039Z
63,2020-03-31T16:01:14.060Z
65,2020-03-31T17:01:14.063Z
68,2020-03-31T18:01:14.085Z
68,2020-03-31T19:01:14.147Z
68,2020-03-31T20:01:14.180Z
66,2020-03-31T21:01:14.210Z
66,2020-03-31T22:01:14.207Z
67,2020-03-31T23:01:14.230Z
73,2020-04-01T00:01:14.296Z
